PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FamilySize,isAlone,CategoricalFare,Title
49,0,3,1,23.625,2,0,1,2,0,2,1
50,0,3,0,18.0,1,0,0,1,1,2,3
51,0,3,1,7.0,4,1,0,5,0,3,4
52,0,3,1,21.0,0,0,0,0,0,0,1
53,1,1,0,49.0,1,0,1,1,1,3,3
54,1,2,0,29.0,1,0,0,1,1,2,3
55,0,1,1,65.0,0,1,1,1,1,3,1
56,1,1,1,34.93,0,0,0,0,0,3,1
57,1,2,0,21.0,0,0,0,0,0,1,2
58,0,3,1,28.5,0,0,1,0,0,0,1
59,1,2,0,5.0,1,2,0,3,0,2,2
60,0,3,1,11.0,5,2,0,7,0,3,4
61,0,3,1,22.0,0,0,1,0,0,0,1
62,1,1,0,38.0,0,0,0,0,0,3,2
63,0,1,1,45.0,1,0,0,1,1,3,1
64,0,3,1,4.0,3,2,0,5,0,2,4
65,0,1,1,49.445,0,0,1,0,0,2,1
66,1,3,1,5.354799999999999,1,1,1,2,0,2,4
67,1,2,0,29.0,0,0,0,0,0,1,3
68,0,3,1,19.0,0,0,0,0,0,1,1
69,1,3,0,17.0,4,2,0,6,0,1,2
70,0,3,1,26.0,2,0,0,2,0,1,1
71,0,2,1,32.0,0,0,0,0,0,1,1
72,0,3,0,16.0,5,2,0,7,0,3,2
73,0,2,1,21.0,0,0,0,0,0,3,1
74,0,3,1,26.0,1,0,1,1,1,1,1
75,1,3,1,32.0,0,0,0,0,0,3,1
76,0,3,1,25.0,0,0,0,0,0,0,1
77,0,3,1,24.825,0,0,0,0,0,0,1
78,0,3,1,23.65,0,0,0,0,0,1,1
79,1,2,1,0.83,0,2,0,2,0,2,4
80,1,3,0,30.0,0,0,0,0,0,1,2
81,0,3,1,22.0,0,0,0,0,0,1,1
82,1,3,1,29.0,0,0,0,0,0,1,1
83,1,3,0,18.955,0,0,2,0,0,0,2
84,0,1,1,28.0,0,0,0,0,0,3,1
85,1,2,0,17.0,0,0,0,0,0,1,2
86,1,3,0,33.0,3,0,0,3,0,2,3
87,0,3,1,16.0,1,3,0,4,0,3,1
88,0,3,1,24.68,0,0,0,0,0,1,1
89,1,1,0,23.0,3,2,0,5,0,3,2
90,0,3,1,24.0,0,0,0,0,0,1,1
91,0,3,1,29.0,0,0,0,0,0,1,1
92,0,3,1,20.0,0,0,0,0,0,0,1
93,0,1,1,46.0,1,0,0,1,1,3,1
94,0,3,1,26.0,1,2,0,3,0,2,1
95,0,3,1,59.0,0,0,0,0,0,0,1
96,0,3,1,43.45,0,0,0,0,0,1,1
97,0,1,1,71.0,0,0,1,0,0,3,1
98,1,1,1,23.0,0,1,1,1,1,3,1
99,1,2,0,34.0,0,1,0,1,1,2,3
100,0,2,1,34.0,1,0,0,1,1,2,1
101,0,3,0,28.0,0,0,0,0,0,0,2
102,0,3,1,33.19,0,0,0,0,0,0,1
103,0,1,1,21.0,0,1,0,1,1,3,1
104,0,3,1,33.0,0,0,0,0,0,1,1
105,0,3,1,37.0,2,0,0,2,0,1,1
106,0,3,1,28.0,0,0,0,0,0,0,1
107,1,3,0,21.0,0,0,0,0,0,0,2
108,1,3,1,29.635,0,0,0,0,0,0,1
109,0,3,1,38.0,0,0,0,0,0,0,1
110,1,3,0,18.435,1,0,2,1,1,2,2
111,0,1,1,47.0,0,0,0,0,0,3,1
112,0,3,0,14.5,1,0,1,1,1,1,2
113,0,3,1,22.0,0,0,0,0,0,1,1
114,0,3,0,20.0,1,0,0,1,1,1,2
115,0,3,0,17.0,0,0,1,0,0,2,2
116,0,3,1,21.0,0,0,0,0,0,1,1
117,0,3,1,70.5,0,0,2,0,0,0,1
118,0,2,1,29.0,1,0,0,1,1,2,1
119,0,1,1,24.0,0,1,1,1,1,3,1
120,0,3,0,2.0,4,2,0,6,0,3,2
121,0,2,1,21.0,2,0,0,2,0,3,1
122,0,3,1,23.79,0,0,0,0,0,1,1
123,0,2,1,32.5,1,0,1,1,1,2,1
124,1,2,0,32.5,0,0,0,0,0,1,2
125,0,1,1,54.0,0,1,0,1,1,3,1
126,1,3,1,12.0,1,0,1,1,1,1,4
127,0,3,1,54.42,0,0,2,0,0,0,1
128,1,3,1,24.0,0,0,0,0,0,0,1
129,1,3,0,4.02,1,1,1,2,0,2,2
130,0,3,1,45.0,0,0,0,0,0,0,1
131,0,3,1,33.0,0,0,1,0,0,0,1
132,0,3,1,20.0,0,0,0,0,0,0,1
133,0,3,0,47.0,1,0,0,1,1,2,3
134,1,2,0,29.0,1,0,0,1,1,2,3
135,0,2,1,25.0,0,0,0,0,0,1,1
136,0,2,1,23.0,0,0,1,0,0,2,1
137,1,1,0,19.0,0,2,0,2,0,2,2
138,0,1,1,37.0,1,0,0,1,1,3,1
139,0,3,1,16.0,0,0,0,0,0,1,1
140,0,1,1,24.0,0,0,1,0,0,3,1
141,0,3,0,35.115,0,2,1,2,0,2,3
142,1,3,0,22.0,0,0,0,0,0,0,2
143,1,3,0,24.0,1,0,0,1,1,2,3
144,0,3,1,19.0,0,0,2,0,0,0,1
145,0,2,1,18.0,0,0,0,0,0,1,1
146,0,2,1,19.0,1,1,0,2,0,3,1
147,1,3,1,27.0,0,0,0,0,0,0,1
148,0,3,0,9.0,2,2,0,4,0,3,2
149,0,2,1,36.5,0,2,0,2,0,2,1
150,0,2,1,42.0,0,0,0,0,0,1,5
151,0,2,1,51.0,0,0,0,0,0,1,5
152,1,1,0,22.0,1,0,0,1,1,3,3
153,0,3,1,55.5,0,0,0,0,0,1,1
154,0,3,1,40.5,0,2,0,2,0,2,1
155,0,3,1,39.655,0,0,0,0,0,0,1
156,0,1,1,51.0,0,1,1,1,1,3,1
157,1,3,0,16.0,0,0,2,0,0,0,2
158,0,3,1,30.0,0,0,0,0,0,1,1
159,0,3,1,29.905,0,0,0,0,0,1,1
160,0,3,1,6.7983,8,2,0,10,0,3,4
161,0,3,1,44.0,0,1,0,1,1,2,1
162,1,2,0,40.0,0,0,0,0,0,2,3
163,0,3,1,26.0,0,0,0,0,0,0,1
164,0,3,1,17.0,0,0,0,0,0,1,1
165,0,3,1,1.0,4,1,0,5,0,3,4
166,1,3,1,9.0,0,2,0,2,0,2,4
167,1,1,0,47.02,0,1,0,1,1,3,3
168,0,3,0,45.0,1,4,0,5,0,2,3
169,0,1,1,56.78,0,0,0,0,0,2,1
170,0,3,1,28.0,0,0,0,0,0,3,1
171,0,1,1,61.0,0,0,0,0,0,3,1
172,0,3,1,4.0,4,1,2,5,0,2,4
173,1,3,0,1.0,1,1,0,2,0,1,2
174,0,3,1,21.0,0,0,0,0,0,1,1
175,0,1,1,56.0,0,0,1,0,0,2,1
176,0,3,1,18.0,1,1,0,2,0,0,1
177,0,3,1,4.4,3,1,0,4,0,2,4
178,0,1,0,50.0,0,0,1,0,0,2,2
179,0,2,1,30.0,0,0,0,0,0,1,1
180,0,3,1,36.0,0,0,0,0,0,0,1
181,0,3,0,10.57,8,2,0,10,0,3,2
182,0,2,1,30.915,0,0,1,0,0,2,1
183,0,3,1,9.0,4,2,0,6,0,3,4
184,1,2,1,1.0,2,1,0,3,0,3,4
185,1,3,0,4.0,0,2,0,2,0,2,2
186,0,1,1,54.74,0,0,0,0,0,3,1
187,1,3,0,24.12,1,0,2,1,1,2,3
188,1,1,1,45.0,0,0,0,0,0,2,1
189,0,3,1,40.0,1,1,2,2,0,2,1
190,0,3,1,36.0,0,0,0,0,0,0,1
191,1,2,0,32.0,0,0,0,0,0,1,3
192,0,2,1,19.0,0,0,0,0,0,1,1
193,1,3,0,19.0,1,0,0,1,1,0,2
194,1,2,1,3.0,1,1,0,2,0,2,4
195,1,1,0,44.0,0,0,1,0,0,2,3
196,1,1,0,58.0,0,0,1,0,0,3,2
197,0,3,1,43.34,0,0,2,0,0,0,1
198,0,3,1,42.0,0,1,0,1,1,1,1
199,1,3,0,16.9,0,0,2,0,0,0,2
200,0,2,0,24.0,0,0,0,0,0,1,2
201,0,3,1,28.0,0,0,0,0,0,1,1
202,0,3,1,15.41,8,2,0,10,0,3,1
203,0,3,1,34.0,0,0,0,0,0,0,1
204,0,3,1,45.5,0,0,1,0,0,0,1
205,1,3,1,18.0,0,0,0,0,0,1,1
206,0,3,0,2.0,0,1,0,1,1,1,2
207,0,3,1,32.0,1,0,0,1,1,2,1
208,1,3,1,26.0,0,0,1,0,0,2,1
209,1,3,0,16.0,0,0,2,0,0,0,2
210,1,1,1,40.0,0,0,1,0,0,2,1
211,0,3,1,24.0,0,0,0,0,0,0,1
212,1,2,0,35.0,0,0,0,0,0,2,2
213,0,3,1,22.0,0,0,0,0,0,0,1
214,0,2,1,30.0,0,0,0,0,0,1,1
215,0,3,1,47.9,1,0,2,1,1,0,1
216,1,1,0,31.0,1,0,1,1,1,3,2
217,1,3,0,27.0,0,0,0,0,0,1,2
218,0,2,1,42.0,1,0,0,1,1,2,1
219,1,1,0,32.0,0,0,1,0,0,3,2
220,0,2,1,30.0,0,0,0,0,0,1,1
221,1,3,1,16.0,0,0,0,0,0,1,1
222,0,2,1,27.0,0,0,0,0,0,1,1
223,0,3,1,51.0,0,0,0,0,0,1,1
224,0,3,1,35.005,0,0,0,0,0,0,1
225,1,1,1,38.0,1,0,0,1,1,3,1
226,0,3,1,22.0,0,0,0,0,0,1,1
227,1,2,1,19.0,0,0,0,0,0,1,1
228,0,3,1,20.5,0,0,0,0,0,0,1
229,0,2,1,18.0,0,0,0,0,0,1,1
230,0,3,0,4.97,3,1,0,4,0,2,2
231,1,1,0,35.0,1,0,0,1,1,3,3
232,0,3,1,29.0,0,0,0,0,0,0,1
233,0,2,1,59.0,0,0,0,0,0,1,1
234,1,3,0,5.0,4,2,0,6,0,3,2
235,0,2,1,24.0,0,0,0,0,0,1,1
236,0,3,0,28.475,0,0,0,0,0,0,2
237,0,2,1,44.0,1,0,0,1,1,2,1
238,1,2,0,8.0,0,2,0,2,0,2,2
239,0,2,1,19.0,0,0,0,0,0,1,1
240,0,2,1,33.0,0,0,0,0,0,1,1
241,0,3,0,20.225,1,0,1,1,1,1,2
242,1,3,0,19.065,1,0,2,1,1,2,2
243,0,2,1,29.0,0,0,0,0,0,1,1
244,0,3,1,22.0,0,0,0,0,0,0,1
245,0,3,1,30.0,0,0,1,0,0,0,1
246,0,1,1,44.0,2,0,2,2,0,3,5
247,0,3,0,25.0,0,0,0,0,0,0,2
248,1,2,0,24.0,0,2,0,2,0,2,3
249,1,1,1,37.0,1,1,0,2,0,3,1
250,0,2,1,54.0,1,0,0,1,1,2,5
251,0,3,1,25.64,0,0,0,0,0,0,1
252,0,3,0,29.0,1,1,0,2,0,1,3
253,0,1,1,62.0,0,0,0,0,0,2,1
254,0,3,1,30.0,1,0,0,1,1,2,1
255,0,3,0,41.0,0,2,0,2,0,2,3
256,1,3,0,29.0,0,2,1,2,0,2,3
257,1,1,0,39.09,0,0,1,0,0,3,3
258,1,1,0,30.0,0,0,0,0,0,3,2
259,1,1,0,35.0,0,0,1,0,0,3,2
260,1,2,0,50.0,0,1,0,1,1,2,3
261,0,3,1,52.365,0,0,2,0,0,0,1
262,1,3,1,3.0,4,2,0,6,0,3,4
263,0,1,1,52.0,1,1,0,2,0,3,1
264,0,1,1,40.0,0,0,0,0,0,0,1
265,0,3,0,29.945,0,0,2,0,0,0,2
266,0,2,1,36.0,0,0,0,0,0,1,1
267,0,3,1,16.0,4,1,0,5,0,3,1
268,1,3,1,25.0,1,0,0,1,1,0,1
269,1,1,0,58.0,0,1,0,1,1,3,3
270,1,1,0,35.0,0,0,0,0,0,3,2
271,0,1,1,49.575,0,0,0,0,0,2,1
272,1,3,1,25.0,0,0,0,0,0,0,1
273,1,2,0,41.0,0,1,0,1,1,2,3
274,0,1,1,37.0,0,1,1,1,1,2,1
275,1,3,0,23.41,0,0,2,0,0,0,2
276,1,1,0,63.0,1,0,0,1,1,3,2
277,0,3,0,45.0,0,0,0,0,0,0,2
278,0,2,1,34.38,0,0,0,0,0,0,1
279,0,3,1,7.0,4,1,2,5,0,2,4
280,1,3,0,35.0,1,1,0,2,0,2,3
281,0,3,1,65.0,0,0,2,0,0,0,1
282,0,3,1,28.0,0,0,0,0,0,0,1
283,0,3,1,16.0,0,0,0,0,0,1,1
284,1,3,1,19.0,0,0,0,0,0,1,1
285,0,1,1,49.455,0,0,0,0,0,2,1
286,0,3,1,33.0,0,0,1,0,0,1,1
287,1,3,1,30.0,0,0,0,0,0,1,1
288,0,3,1,22.0,0,0,0,0,0,0,1
289,1,2,1,42.0,0,0,0,0,0,1,1
290,1,3,0,22.0,0,0,2,0,0,0,2
291,1,1,0,26.0,0,0,0,0,0,3,2
292,1,1,0,19.0,1,0,1,1,1,3,3
293,0,2,1,36.0,0,0,1,0,0,1,1
294,0,3,0,24.0,0,0,0,0,0,1,2
295,0,3,1,24.0,0,0,0,0,0,0,1
296,0,1,1,43.2492,0,0,1,0,0,2,1
297,0,3,1,23.5,0,0,1,0,0,0,1
298,0,1,0,2.0,1,2,0,3,0,3,2
299,1,1,1,35.5842,0,0,0,0,0,2,1
300,1,1,0,50.0,0,1,1,1,1,3,3
301,1,3,0,21.995,0,0,2,0,0,0,2
302,1,3,1,31.7875,2,0,2,2,0,2,1
303,0,3,1,19.0,0,0,0,0,0,0,1
304,1,2,0,30.06,0,0,2,0,0,1,2
305,0,3,1,25.21,0,0,0,0,0,1,1
306,1,1,1,0.92,1,2,0,3,0,3,4
307,1,1,0,28.67,0,0,1,0,0,3,2
308,1,1,0,17.0,1,0,1,1,1,3,3
309,0,2,1,30.0,1,0,1,1,1,2,1
310,1,1,0,30.0,0,0,1,0,0,3,2
311,1,1,0,24.0,0,0,1,0,0,3,2
312,1,1,0,18.0,2,2,1,4,0,3,2
313,0,2,0,26.0,1,1,0,2,0,2,3
314,0,3,1,28.0,0,0,0,0,0,0,1
315,0,2,1,43.0,1,1,0,2,0,2,1
316,1,3,0,26.0,0,0,0,0,0,0,2
317,1,2,0,24.0,1,0,0,1,1,2,3
318,0,2,1,54.0,0,0,0,0,0,1,5
319,1,1,0,31.0,0,2,0,2,0,3,2
320,1,1,0,40.0,1,1,1,2,0,3,3
321,0,3,1,22.0,0,0,0,0,0,0,1
322,0,3,1,27.0,0,0,0,0,0,0,1
323,1,2,0,30.0,0,0,2,0,0,1,2
324,1,2,0,22.0,1,1,0,2,0,2,3
325,0,3,1,14.72,8,2,0,10,0,3,1
326,1,1,0,36.0,0,0,1,0,0,3,2
327,0,3,1,61.0,0,0,0,0,0,0,1
328,1,2,0,36.0,0,0,0,0,0,1,3
329,1,3,0,31.0,1,1,0,2,0,2,3
330,1,1,0,16.0,0,1,1,1,1,3,2
331,1,3,0,19.625,2,0,2,2,0,2,2
332,0,1,1,45.5,0,0,0,0,0,2,1
333,0,1,1,38.0,0,1,0,1,1,3,1
334,0,3,1,16.0,2,0,0,2,0,2,1
335,1,1,0,33.08,1,0,0,1,1,3,3
336,0,3,1,42.94,0,0,0,0,0,0,1
337,0,1,1,29.0,1,0,0,1,1,3,1
338,1,1,0,41.0,0,0,1,0,0,3,2
339,1,3,1,45.0,0,0,0,0,0,1,1
340,0,1,1,45.0,0,0,0,0,0,3,1
341,1,2,1,2.0,1,1,0,2,0,2,4
342,1,1,0,24.0,3,2,0,5,0,3,2
343,0,2,1,28.0,0,0,0,0,0,1,1
344,0,2,1,25.0,0,0,0,0,0,1,1
345,0,2,1,36.0,0,0,0,0,0,1,1
346,1,2,0,24.0,0,0,0,0,0,1,2
347,1,2,0,40.0,0,0,0,0,0,1,2
348,1,3,0,30.81,1,0,0,1,1,2,3
349,1,3,1,3.0,1,1,0,2,0,2,4
350,0,3,1,42.0,0,0,0,0,0,1,1
351,0,3,1,23.0,0,0,0,0,0,1,1
352,0,1,1,42.98,0,0,0,0,0,3,1
353,0,3,1,15.0,1,1,1,2,0,0,1
354,0,3,1,25.0,1,0,0,1,1,2,1
355,0,3,1,29.435,0,0,1,0,0,0,1
356,0,3,1,28.0,0,0,0,0,0,1,1
357,1,1,0,22.0,0,1,0,1,1,3,2
358,0,2,0,38.0,0,0,0,0,0,1,2
359,1,3,0,21.94,0,0,2,0,0,0,2
360,1,3,0,21.94,0,0,2,0,0,0,2
361,0,3,1,40.0,1,4,0,5,0,2,1
362,0,2,1,29.0,1,0,1,1,1,2,1
363,0,3,0,45.0,0,1,1,1,1,1,3
364,0,3,1,35.0,0,0,0,0,0,0,1
365,0,3,1,36.19,1,0,2,1,1,2,1
366,0,3,1,30.0,0,0,0,0,0,0,1
367,1,1,0,60.0,1,0,1,1,1,3,3
368,1,3,0,33.18,0,0,1,0,0,0,3
369,1,3,0,21.58,0,0,2,0,0,0,2
370,1,1,0,24.0,0,0,1,0,0,3,3
371,1,1,1,25.0,1,0,1,1,1,3,1
372,0,3,1,18.0,1,0,0,1,1,0,1
373,0,3,1,19.0,0,0,0,0,0,1,1
374,0,1,1,22.0,0,0,1,0,0,3,1
375,0,3,0,3.0,3,1,0,4,0,2,2
376,1,1,0,36.9,1,0,1,1,1,3,3
377,1,3,0,22.0,0,0,0,0,0,0,2
378,0,1,1,27.0,0,2,1,2,0,3,1
379,0,3,1,20.0,0,0,1,0,0,0,1
380,0,3,1,19.0,0,0,0,0,0,0,1
381,1,1,0,42.0,0,0,1,0,0,3,2
382,1,3,0,1.0,0,2,1,2,0,2,2
383,0,3,1,32.0,0,0,0,0,0,1,1
384,1,1,0,35.0,1,0,0,1,1,3,3
385,0,3,1,22.54,0,0,0,0,0,0,1
386,0,2,1,18.0,0,0,0,0,0,3,1
387,0,3,1,1.0,5,2,0,7,0,3,4
388,1,2,0,36.0,0,0,0,0,0,1,2
389,0,3,1,35.22,0,0,2,0,0,0,1
390,1,2,0,17.0,0,0,1,0,0,1,2
391,1,1,1,36.0,1,2,0,3,0,3,1
392,1,3,1,21.0,0,0,0,0,0,0,1
393,0,3,1,28.0,2,0,0,2,0,1,1
394,1,1,0,23.0,1,0,1,1,1,3,2
395,1,3,0,24.0,0,2,0,2,0,2,3
396,0,3,1,22.0,0,0,0,0,0,0,1
397,0,3,0,31.0,0,0,0,0,0,0,2
398,0,2,1,46.0,0,0,0,0,0,2,1
399,0,2,1,23.0,0,0,0,0,0,1,5
400,1,2,0,28.0,0,0,0,0,0,1,3
401,1,3,1,39.0,0,0,0,0,0,1,1
402,0,3,1,26.0,0,0,0,0,0,1,1
403,0,3,0,21.0,1,0,0,1,1,1,2
404,0,3,1,28.0,1,0,0,1,1,2,1
405,0,3,0,20.0,0,0,0,0,0,1,2
406,0,2,1,34.0,1,0,0,1,1,2,1
407,0,3,1,51.0,0,0,0,0,0,0,1
408,1,2,1,3.0,1,1,0,2,0,2,4
409,0,3,1,21.0,0,0,0,0,0,0,1
410,0,3,0,5.94,3,1,0,4,0,2,2
411,0,3,1,29.83,0,0,0,0,0,0,1
412,0,3,1,30.51,0,0,2,0,0,0,1
413,1,1,0,33.0,1,0,2,1,1,3,2
414,0,2,1,32.26,0,0,0,0,0,0,1
415,1,3,1,44.0,0,0,0,0,0,1,1
416,0,3,0,43.61,0,0,0,0,0,1,3
417,1,2,0,34.0,1,1,0,2,0,3,3
418,1,2,0,18.0,0,2,0,2,0,1,2
419,0,2,1,30.0,0,0,0,0,0,1,1
420,0,3,0,10.0,0,2,0,2,0,2,2
421,0,3,1,26.24,0,0,1,0,0,0,1
422,0,3,1,21.0,0,0,2,0,0,0,1
423,0,3,1,29.0,0,0,0,0,0,0,1
424,0,3,0,28.0,1,1,0,2,0,1,3
425,0,3,1,18.0,1,1,0,2,0,2,1
426,0,3,1,25.69,0,0,0,0,0,0,1
427,1,2,0,28.0,1,0,0,1,1,2,3
428,1,2,0,19.0,0,0,0,0,0,2,2
429,0,3,1,28.07,0,0,2,0,0,0,1
430,1,3,1,32.0,0,0,0,0,0,1,1
431,1,1,1,28.0,0,0,0,0,0,2,1
432,1,3,0,36.1,1,0,0,1,1,2,3
433,1,2,0,42.0,1,0,0,1,1,2,3
434,0,3,1,17.0,0,0,0,0,0,0,1
435,0,1,1,50.0,1,0,0,1,1,3,1
436,1,1,0,14.0,1,2,0,3,0,3,2
437,0,3,0,21.0,2,2,0,4,0,3,2
438,1,2,0,24.0,2,3,0,5,0,2,3
439,0,1,1,64.0,1,4,0,5,0,3,1
440,0,2,1,31.0,0,0,0,0,0,1,1
441,1,2,0,45.0,1,1,0,2,0,2,3
442,0,3,1,20.0,0,0,0,0,0,1,1
443,0,3,1,25.0,1,0,0,1,1,0,1
444,1,2,0,28.0,0,0,0,0,0,1,2
445,1,3,1,32.1,0,0,0,0,0,1,1
446,1,1,1,4.0,0,2,0,2,0,3,4
447,1,2,0,13.0,0,1,0,1,1,2,2
448,1,1,1,34.0,0,0,0,0,0,2,1
449,1,3,0,5.0,2,1,1,3,0,2,2
450,1,1,1,52.0,0,0,0,0,0,2,5
451,0,2,1,36.0,1,2,0,3,0,2,1
452,0,3,1,27.34,1,0,0,1,1,2,1
453,0,1,1,30.0,0,0,1,0,0,2,1
454,1,1,1,49.0,1,0,1,1,1,3,1
455,0,3,1,33.39,0,0,0,0,0,1,1
456,1,3,1,29.0,0,0,1,0,0,0,1
457,0,1,1,65.0,0,0,0,0,0,2,1
458,1,1,0,39.68,1,0,0,1,1,3,3
459,1,2,0,50.0,0,0,0,0,0,1,2
460,0,3,1,30.67,0,0,2,0,0,0,1
461,1,1,1,48.0,0,0,0,0,0,2,1
462,0,3,1,34.0,0,0,0,0,0,1,1
463,0,1,1,47.0,0,0,0,0,0,3,1
464,0,2,1,48.0,0,0,0,0,0,1,1
465,0,3,1,36.52,0,0,0,0,0,1,1
466,0,3,1,38.0,0,0,0,0,0,0,1
467,0,2,1,41.92,0,0,0,0,0,0,1
468,0,1,1,56.0,0,0,0,0,0,2,1
469,0,3,1,33.515,0,0,2,0,0,0,1
470,1,3,0,0.75,2,1,1,3,0,2,2
471,0,3,1,32.36,0,0,0,0,0,0,1
472,0,3,1,38.0,0,0,0,0,0,1,1
473,1,2,0,33.0,1,2,0,3,0,2,3
474,1,2,0,23.0,0,0,1,0,0,1,3
475,0,3,0,22.0,0,0,0,0,0,1,2
476,0,1,1,50.84,0,0,0,0,0,3,1
477,0,2,1,34.0,1,0,0,1,1,2,1
478,0,3,1,29.0,1,0,0,1,1,0,1
479,0,3,1,22.0,0,0,0,0,0,0,1
480,1,3,0,2.0,0,1,0,1,1,1,2
481,0,3,1,9.0,5,2,0,7,0,3,4
482,0,2,1,39.37,0,0,0,0,0,0,1
483,0,3,1,50.0,0,0,0,0,0,1,1
484,1,3,0,63.0,0,0,0,0,0,1,3
485,1,1,1,25.0,1,0,1,1,1,3,1
486,0,3,0,6.27,3,1,0,4,0,2,2
487,1,1,0,35.0,1,0,0,1,1,3,3
488,0,1,1,58.0,0,0,1,0,0,2,1
489,0,3,1,30.0,0,0,0,0,0,1,1
490,1,3,1,9.0,1,1,0,2,0,2,4
491,0,3,1,26.75,1,0,0,1,1,2,1
492,0,3,1,21.0,0,0,0,0,0,0,1
493,0,1,1,55.0,0,0,0,0,0,2,1
494,0,1,1,71.0,0,0,1,0,0,3,1
495,0,3,1,21.0,0,0,0,0,0,1,1
496,0,3,1,22.855,0,0,1,0,0,2,1
497,1,1,0,54.0,1,0,1,1,1,3,2
498,0,3,1,24.37,0,0,0,0,0,2,1
499,0,1,0,25.0,1,2,0,3,0,3,3
500,0,3,1,24.0,0,0,0,0,0,0,1
501,0,3,1,17.0,0,0,0,0,0,1,1
502,0,3,0,21.0,0,0,2,0,0,0,2
503,0,3,0,23.225,0,0,2,0,0,0,2
504,0,3,0,37.0,0,0,0,0,0,1,2
505,1,1,0,16.0,0,0,0,0,0,3,2
506,0,1,1,18.0,1,0,1,1,1,3,1
507,1,2,0,33.0,0,2,0,2,0,2,3
508,1,1,1,37.47,0,0,0,0,0,2,1
509,0,3,1,28.0,0,0,0,0,0,2,1
510,1,3,1,26.0,0,0,0,0,0,3,1
511,1,3,1,29.0,0,0,2,0,0,0,1
512,0,3,1,26.37,0,0,0,0,0,1,1
513,1,1,1,36.0,0,0,0,0,0,2,1
514,1,1,0,54.0,1,0,1,1,1,3,3
515,0,3,1,24.0,0,0,0,0,0,0,1
516,0,1,1,47.0,0,0,0,0,0,3,1
517,1,2,0,34.0,0,0,0,0,0,1,3
518,0,3,1,33.035,0,0,2,0,0,2,1
519,1,2,0,36.0,1,0,0,1,1,2,3
520,0,3,1,32.0,0,0,0,0,0,0,1
521,1,1,0,30.0,0,0,0,0,0,3,2
522,0,3,1,22.0,0,0,0,0,0,0,1
523,0,3,1,25.965,0,0,1,0,0,0,1
524,1,1,0,44.0,0,1,1,1,1,3,3
525,0,3,1,27.155,0,0,1,0,0,0,1
526,0,3,1,40.5,0,0,2,0,0,0,1
527,1,2,0,50.0,0,0,0,0,0,1,2
528,0,1,1,48.66,0,0,0,0,0,3,1
529,0,3,1,39.0,0,0,0,0,0,1,1
530,0,2,1,23.0,2,1,0,3,0,1,1
531,1,2,0,2.0,1,1,0,2,0,2,2
532,0,3,1,27.79,0,0,1,0,0,0,1
533,0,3,1,17.0,1,1,1,2,0,0,1
